模型,short_multiplier,long_leverage,short_leverage,累计收益,年化收益,Sharpe,最大回撤,胜率
Logistic,2.5,2.0,2.5,0.0064,0.0509,0.1681,-0.2576,0.301
Ridge,1.5,3.0,1.5,0.0174,0.0317,0.168,-0.1883,0.2686
Ridge,1.5,2.0,1.0,0.0164,0.0212,0.168,-0.1293,0.2686
Logistic,3.0,3.0,2.5,0.0036,0.0459,0.1564,-0.2485,0.2492
Ridge,2.0,1.5,2.5,0.0093,0.0393,0.1557,-0.1893,0.2136
Logistic,2.0,2.5,1.0,0.0147,0.0225,0.1538,-0.112,0.3495
Logistic,2.5,1.5,2.0,0.0088,0.0362,0.1498,-0.211,0.301
Ridge,2.0,1.0,2.0,0.0059,0.0249,0.1241,-0.152,0.2136
Ridge,2.0,1.5,3.0,-0.0097,0.0374,0.1241,-0.2216,0.2136
Logistic,2.5,2.0,3.0,-0.0266,0.043,0.1191,-0.3019,0.301
Logistic,2.5,1.0,1.5,0.0065,0.0215,0.1191,-0.162,0.301
Logistic,2.5,1.5,2.5,-0.0201,0.0283,0.0943,-0.2576,0.301
Ridge,2.0,1.0,2.5,-0.01,0.0231,0.0922,-0.1853,0.2136
Ridge,1.5,2.5,1.5,-0.0012,0.0155,0.0851,-0.1843,0.2686
Logistic,3.0,2.0,2.0,-0.0098,0.0187,0.0808,-0.2033,0.2492
Logistic,3.0,1.0,1.0,0.0033,0.0094,0.0808,-0.1063,0.2492
Logistic,3.0,2.5,2.5,-0.0224,0.0234,0.0808,-0.2485,0.2492
Logistic,3.0,1.5,1.5,-0.0013,0.014,0.0808,-0.1559,0.2492
Logistic,3.0,3.0,3.0,-0.0387,0.0281,0.0808,-0.2917,0.2492
Ridge,2.0,1.0,3.0,-0.0285,0.0212,0.0707,-0.2177,0.2136
XGBoost,1.5,2.5,1.0,-0.0017,0.009,0.0621,-0.1946,0.3754
Logistic,2.5,1.5,3.0,-0.0523,0.0204,0.0569,-0.3019,0.301
Logistic,2.5,1.0,2.0,-0.0181,0.0136,0.0569,-0.211,0.301
Logistic,1.5,3.0,1.0,-0.0054,0.0076,0.0489,-0.119,0.3754
Ridge,1.5,1.5,1.0,-0.0027,0.0049,0.0412,-0.125,0.2686
Ridge,1.5,3.0,2.0,-0.0224,0.0098,0.0412,-0.2363,0.2686
Logistic,2.5,1.0,2.5,-0.0462,0.0058,0.0193,-0.2576,0.301
Logistic,3.0,2.5,3.0,-0.0637,0.0055,0.0161,-0.2917,0.2492
Logistic,3.0,2.0,2.5,-0.048,0.0008,0.003,-0.2485,0.2492
Logistic,2.0,3.0,1.5,-0.0264,-0.0001,-0.0004,-0.164,0.3495
Logistic,2.0,2.0,1.0,-0.0119,-0.0001,-0.0004,-0.112,0.3495
Ridge,1.5,2.0,1.5,-0.0197,-0.0008,-0.0043,-0.1802,0.2686
Logistic,2.5,1.0,3.0,-0.0775,-0.0021,-0.0059,-0.3019,0.301
XGBoost,1.0,3.0,1.0,-0.0207,-0.0026,-0.0154,-0.2268,0.4466
Logistic,3.0,1.5,2.0,-0.036,-0.0038,-0.0168,-0.2033,0.2492
Ridge,1.5,2.5,2.0,-0.0403,-0.0064,-0.0275,-0.2325,0.2686
Ridge,1.5,3.0,2.5,-0.0641,-0.0121,-0.0417,-0.282,0.2686
Logistic,3.0,2.0,3.0,-0.0881,-0.017,-0.0498,-0.2917,0.2492
Logistic,3.0,1.0,1.5,-0.0279,-0.0085,-0.0498,-0.1559,0.2492
Logistic,3.0,1.5,2.5,-0.0731,-0.0217,-0.0765,-0.2485,0.2492
Ridge,1.5,2.0,2.0,-0.058,-0.0227,-0.0992,-0.2287,0.2686
Ridge,1.5,1.5,1.5,-0.0381,-0.017,-0.0992,-0.1762,0.2686
Ridge,1.5,2.5,2.5,-0.0812,-0.0283,-0.0992,-0.2784,0.2686
Ridge,1.5,1.0,1.0,-0.0217,-0.0113,-0.0992,-0.1206,0.2686
